,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
13,0.06250508626302083,0.005208571751912435,0.947945205479452,0.9952052438424737,True,balanced,gini,15,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'n_estimators': 40}",24,0.9404517453798767,0.9958890030832477,0.9486652977412731,0.9938335046248715,0.9547325102880658,0.9958932238193019,9.1335028957104e-06,0.007366032812147957,0.005851315889507554,0.0009699676333033275
14,0.07813310623168945,0.0052089691162109375,0.947945205479452,0.9962329930716618,True,balanced,gini,15,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'n_estimators': 50}",24,0.9363449691991786,0.9979445015416238,0.9507186858316222,0.9948612538540597,0.9567901234567902,0.9958932238193019,1.0300859925600466e-06,0.0073665947701281025,0.008572835351698088,0.0012814539748151642
15,0.01562650998433431,0.0,0.9438356164383561,0.9928078657637105,True,balanced,gini,20,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 10}",31,0.9383983572895277,0.9917780061664954,0.9486652977412731,0.9928057553956835,0.9444444444444444,0.9938398357289527,2.135440324551964e-06,0.0,0.00421489414933521,0.0008417397168546019
16,0.03646214803059896,0.0,0.9486301369863014,0.9938356149928986,True,balanced,gini,20,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 20}",20,0.9404517453798767,0.9928057553956835,0.946611909650924,0.9948612538540597,0.9588477366255144,0.9938398357289527,0.007371596895937423,0.0,0.0076433906681122625,0.0008391590389814161
17,0.04688000679016113,0.010418017705281576,0.9486301369863014,0.9948633642220867,True,balanced,gini,20,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 30}",20,0.944558521560575,0.9958890030832477,0.944558521560575,0.9948612538540597,0.9567901234567902,0.9938398357289527,3.371747880871523e-07,0.0073666509974344135,0.0057640547175543885,0.0008365704001923343
18,0.06250762939453125,0.005208174387613933,0.947945205479452,0.9958904099952658,True,balanced,gini,20,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 40}",24,0.9363449691991786,0.9969167523124358,0.9507186858316222,0.9948612538540597,0.9567901234567902,0.9958932238193019,9.73339773330362e-07,0.007365470854167812,0.008572835351698088,0.0008391560904865361
19,0.07817451159159343,0.0,0.9472602739726027,0.9958904099952658,True,balanced,gini,20,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 50}",29,0.9404517453798767,0.9969167523124358,0.9425051334702259,0.9948612538540597,0.9588477366255144,0.9958932238193019,1.645414501268904e-05,0.0,0.008228001396724527,0.0008391560904865361
20,0.015630722045898438,0.0,0.9404109589041096,0.9626718103370046,True,balanced,entropy,5,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",37,0.9301848049281314,0.9558067831449126,0.9363449691991786,0.9712230215827338,0.9547325102880658,0.9609856262833676,1.593425882320676e-06,0.0,0.010424575336742712,0.00640559726020889
21,0.03319851557413737,0.006039857864379883,0.9438356164383561,0.9654121232201683,True,balanced,entropy,5,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 20}",31,0.9404517453798767,0.9640287769784173,0.9322381930184805,0.9701952723535457,0.9588477366255144,0.9620123203285421,0.002808553620155806,0.006880175431174606,0.01112213730472211,0.0034809396316993627
22,0.05877391497294108,0.0,0.9438356164383561,0.9647283639793943,True,balanced,entropy,5,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 30}",31,0.9363449691991786,0.9650565262076053,0.9404517453798767,0.9712230215827338,0.9547325102880658,0.9579055441478439,0.005282883998653244,0.0,0.00787794999831078,0.005441787031433608
23,0.0625152587890625,0.015624761581420898,0.9404109589041096,0.9657532993845463,True,balanced,entropy,5,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 40}",37,0.9342915811088296,0.9588900308324769,0.9301848049281314,0.9722507708119219,0.9567901234567902,0.9661190965092402,9.872563777459167e-06,2.0509541671377722e-06,0.011690848458901166,0.0054606287093405025
24,0.09032424290974934,0.007303555806477864,0.9424657534246575,0.9660962341889467,True,balanced,entropy,5,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",35,0.9363449691991786,0.9630010277492291,0.9363449691991786,0.9701952723535457,0.9547325102880658,0.9650924024640657,0.004416774104124366,0.006418086024663616,0.008664996936371896,0.0030215942211127664
25,0.015625635782877605,0.0052098433176676435,0.952054794520548,0.9914382369141355,True,balanced,entropy,10,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",11,0.944558521560575,0.9917780061664954,0.946611909650924,0.9907502569373073,0.9650205761316872,0.9917864476386037,7.370009816086851e-07,0.007367831077684422,0.009197084452408978,0.00048648751337189737
26,0.04687960942586263,0.0,0.9547945205479452,0.9914382369141355,True,balanced,entropy,10,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 20}",5,0.946611909650924,0.9907502569373073,0.9548254620123203,0.9917780061664954,0.9629629629629629,0.9917864476386037,1.0327191566623222e-05,0.0,0.006674178808240646,0.00048648751337189737
27,0.05729405085245768,0.005188783009847005,0.9541095890410959,0.9917815234465405,True,balanced,entropy,10,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 30}",7,0.9486652977412731,0.9948612538540597,0.9507186858316222,0.9907502569373073,0.9629629629629629,0.9897330595482546,0.007370753259181177,0.007338047304736724,0.006309822139414767,0.0022169389059876077
28,0.07815011342366536,0.005207220713297526,0.9568493150684931,0.991096005565744,True,balanced,entropy,10,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 40}",2,0.9507186858316222,0.9928057553956835,0.9527720739219713,0.9897225077081192,0.9670781893004116,0.9907597535934292,1.6513917159548818e-05,0.007364122155015463,0.007273975959759536,0.0012809900122904509
