,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_max_iter,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
13,0.5469445387522379,0.0,0.9547945205479452,0.9595892661054495,relu,0.1,30,300,adam,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 30, 'max_iter': 300, 'solver': 'adam'}",14,0.9425051334702259,0.9619732785200411,0.9568788501026694,0.9578622816032888,0.9650205761316872,0.9589322381930184,2.18447747848554e-05,0.0,0.009307861333572406,0.001741424353926379
14,0.28647589683532715,0.0,0.9684931506849315,0.9770543201695611,relu,0.1,40,300,lbfgs,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 40, 'max_iter': 300, 'solver': 'lbfgs'}",2,0.973305954825462,0.9753340184994861,0.971252566735113,0.9773895169578622,0.9609053497942387,0.9784394250513347,0.007377758520789483,0.0,0.00542507738684322,0.0012897429015716604
15,0.6042437553405762,0.0,0.9534246575342465,0.9599325526378545,relu,0.1,40,300,adam,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 40, 'max_iter': 300, 'solver': 'adam'}",15,0.9425051334702259,0.9609455292908531,0.9548254620123203,0.9619732785200411,0.9629629629629629,0.9568788501026694,0.007336855537718151,0.0,0.008409041023218933,0.0021996805070390395
16,0.1562655766805013,0.0,0.9582191780821918,0.9678080943869135,relu,1,10,300,lbfgs,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 10, 'max_iter': 300, 'solver': 'lbfgs'}",12,0.9568788501026694,0.9660842754367934,0.9568788501026694,0.9691675231243576,0.9609053497942387,0.9681724845995893,0.012764475418438835,0.0,0.0018974591177303552,0.001284831829731794
17,0.4375481605529785,0.0,0.9013698630136986,0.9054794298911121,relu,1,10,300,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 10, 'max_iter': 300, 'solver': 'adam'}",24,0.9158110882956879,0.9075025693730729,0.8850102669404517,0.9033915724563206,0.9032921810699589,0.9055441478439425,2.3921198754775383e-06,0.0,0.012651768918934124,0.0016789312518088596
18,0.1979199250539144,0.005212148030598958,0.9602739726027397,0.9688351401600924,relu,1,20,300,lbfgs,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 20, 'max_iter': 300, 'solver': 'lbfgs'}",10,0.9630390143737166,0.9671120246659815,0.9548254620123203,0.9691675231243576,0.9629629629629629,0.9702258726899384,0.0073582326438342656,0.007371090433969265,0.003854783065838338,0.0012927673689351955
19,0.494856595993042,0.0,0.9267123287671233,0.930819673976278,relu,1,20,300,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 20, 'max_iter': 300, 'solver': 'adam'}",22,0.9322381930184805,0.935251798561151,0.9034907597535934,0.9198355601233299,0.9444444444444444,0.9373716632443532,0.007374533023638574,0.0,0.017167448890457467,0.00781500797268381
20,0.20315066973368326,0.0,0.9602739726027397,0.9688354918880971,relu,1,30,300,lbfgs,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 30, 'max_iter': 300, 'solver': 'lbfgs'}",10,0.9589322381930184,0.9650565262076053,0.9589322381930184,0.9722507708119219,0.9629629629629629,0.9691991786447639,0.02550083792009439,0.0,0.001899450155629319,0.002948275190617482
21,0.5260813236236572,0.0,0.9301369863013699,0.935958771850223,relu,1,30,300,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 30, 'max_iter': 300, 'solver': 'adam'}",21,0.9219712525667351,0.9362795477903392,0.9240246406570842,0.935251798561151,0.9444444444444444,0.9363449691991786,0.007355322909141829,0.0,0.010141238910415957,0.0005006185599033164
22,0.28648845354715985,0.0,0.9609589041095891,0.9702051207376722,relu,1,40,300,lbfgs,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 40, 'max_iter': 300, 'solver': 'lbfgs'}",9,0.9630390143737166,0.9660842754367934,0.9589322381930184,0.9732785200411099,0.9609053497942387,0.971252566735113,0.007392460833699532,0.0,0.0016775850158665354,0.0030289873109506883
23,0.5156795978546143,0.0,0.9328767123287671,0.9390420195377872,relu,1,40,300,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': 40, 'max_iter': 300, 'solver': 'adam'}",20,0.9301848049281314,0.9445015416238438,0.9240246406570842,0.9362795477903392,0.9444444444444444,0.9363449691991786,0.04600331677053957,0.0,0.008549723072924339,0.0038605574766941366
